Instancia,Clase,Algoritmo,Avg_Vehiculos,Avg_Distancia,BKS_Vehiculos,BKS_Distancia,GAP_Vehiculos(%),GAP_Distancia(%),GAP_Unificado(%)
r205,R2,QLEARNING,3.0,1030.34,3,994.43,0.0,3.6111139044477714,0.11585952701824119
r206,R2,CLASSIC,3.0,927.79,3,906.14,0.0,2.389255523429048,0.07005080543866511
r206,R2,QLEARNING,3.0,930.23,3,906.14,0.0,2.6585295870395336,0.07794567681373392
r207,R2,CLASSIC,3.0,823.18,2,890.61,50.0,-7.571215234502201,47.54561977845548
r207,R2,QLEARNING,3.0,826.85,2,890.61,50.0,-7.159138118817439,47.563187479925176
r208,R2,CLASSIC,2.0,739.12,2,726.82,0.0,1.692303458903161,0.05934340144797549
r208,R2,QLEARNING,2.0,740.47,2,726.82,0.0,1.8780440824413165,0.06585670160691054
r209,R2,QLEARNING,3.0,937.71,3,909.16,0.0,3.140261340138157,0.09236744059042457
r209,R2,CLASSIC,3.0,939.69,3,909.16,0.0,3.358044788596076,0.09877330862436519
r210,R2,CLASSIC,3.0,961.41,3,939.37,0.0,2.346253340004467,0.07123609821402593
r210,R2,QLEARNING,3.0,959.15,3,939.37,0.0,2.1056665637608156,0.0639314892320124
r211,R2,CLASSIC,3.0,795.5,2,885.71,50.0,-10.185049282496532,47.44770467463161
r211,R2,QLEARNING,3.0,791.28,2,885.71,50.0,-10.661503200821947,47.42749947212712
rc101,RC1,CLASSIC,15.0,1635.87,14,1696.95,7.142857142857142,-3.5993989215946347,7.014208845003356
rc101,RC1,QLEARNING,15.0,1632.64,14,1696.95,7.142857142857142,-3.7897404166298325,7.011929332282736
rc102,RC1,CLASSIC,12.7,1512.91,12,1554.75,5.833333333333327,-2.6911078951599885,5.724301189381743
rc102,RC1,QLEARNING,12.7,1508.56,12,1554.75,5.833333333333327,-2.970895642386239,5.720722555062634
rc103,RC1,CLASSIC,11.0,1293.07,11,1261.67,0.0,2.4887648909778197,0.028221758670356763
rc103,RC1,QLEARNING,11.0,1279.62,11,1261.67,0.0,1.422717509332854,0.016133139112505763
rc104,RC1,CLASSIC,10.0,1146.93,10,1135.48,0.0,1.0083841194913206,0.011321447230978773
rc104,RC1,QLEARNING,10.0,1140.98,10,1135.48,0.0,0.4843766512840385,0.005438249761606906
rc105,RC1,CLASSIC,14.0,1548.59,13,1629.44,7.6923076923076925,-4.961827376276521,7.535662234831353
rc105,RC1,QLEARNING,14.0,1548.94,13,1629.44,7.6923076923076925,-4.940347604084839,7.535928132794608
rc106,RC1,CLASSIC,12.0,1391.8,11,1424.73,9.090909090909092,-2.3113151263748266,8.945114787354663
rc106,RC1,QLEARNING,12.0,1388.74,11,1424.73,9.090909090909092,-2.5260926631712683,8.942368538833353
rc107,RC1,CLASSIC,11.0,1244.44,11,1230.48,0.0,1.1345166114036829,0.0125505167288736
