instance,Familia,CLASSIC_Vehiculos,QLEARNING_Vehiculos,CLASSIC_Distancia,QLEARNING_Distancia,CLASSIC_Tiempo_s,QLEARNING_Tiempo_s,BKS_Veh,BKS_Dist,CLASSIC_DIF_f1,CLASSIC_GAP_f2(%),QLEARNING_DIF_f1,QLEARNING_GAP_f2(%),size
r2_2_6,R2,4.0,4.0,2963.364,2960.96,21.715609999999998,21.25,4,2913.03,0.0,1.7278915768117675,0.0,1.6453658218418563,200
r2_2_7,R2,4.0,4.0,2504.63,2523.0299999999997,24.67969,25.293770000000002,4,2451.14,0.0,2.18224989188705,0.0,2.932921008183942,200
r2_2_8,R2,4.0,4.0,1885.6,1897.411,25.81719,25.29532,4,1849.87,0.0,1.93148707747031,0.0,2.5699643758750708,200
r2_2_9,R2,4.0,4.0,3165.464,3173.7169999999996,18.328120000000002,17.1125,4,3092.04,0.0,2.3746135237577777,0.0,2.6415246892019404,200
rc1_2_1,RC1,19.0,19.0,3570.8720000000003,3587.132,17.84374,18.15314,18,3602.8,1.0,,1.0,,200
rc1_2_10,RC1,18.0,18.0,3059.3419999999996,3092.028,18.428109999999997,18.971870000000003,18,3000.3,0.0,1.9678698796786809,0.0,3.0572942705729296,200
rc1_2_2,RC1,18.8,18.8,3291.928,3290.518,21.78906,22.91718,18,3249.05,0.8000000000000007,,0.8000000000000007,,200
rc1_2_3,RC1,18.0,18.0,3070.23,3068.1150000000002,23.101570000000002,23.15938,18,3008.33,0.0,2.0576200084432257,0.0,1.9873152214019176,200
rc1_2_4,RC1,18.0,18.0,2926.993,2908.105,19.59374,22.60781,18,2851.68,0.0,2.641004600796727,0.0,1.9786581944678288,200
rc1_2_5,RC1,19.0,19.0,3379.3489999999997,3374.172,19.73125,19.89844,18,3371.0,1.0,,1.0,,200
rc1_2_6,RC1,19.0,19.0,3352.422,3352.299,17.60936,17.5125,18,3324.8,1.0,,1.0,,200
rc1_2_7,RC1,18.9,18.2,3270.2120000000004,3351.184,19.15938,18.68906,18,3189.32,0.8999999999999986,,0.1999999999999993,,200
rc1_2_8,RC1,18.0,18.0,3203.218,3190.245,19.745330000000003,18.957810000000002,18,3083.93,0.0,3.8680514797676993,0.0,3.4473869380952245,200
rc1_2_9,RC1,18.1,18.0,3169.832,3169.882,18.87658,18.18281,18,3081.13,0.10000000000000142,,0.0,2.8805016341407192,200
rc2_2_1,RC2,6.8,6.6,3004.6130000000003,3051.697,17.1125,15.220310000000001,6,3099.53,0.7999999999999998,,0.5999999999999996,,200
rc2_2_10,RC2,4.0,4.0,2085.909,2095.141,19.896890000000003,20.0953,4,2015.6,0.0,3.4882417146259272,0.0,3.9462691010121143,200
rc2_2_2,RC2,5.9,5.4,2675.047,2834.1079999999997,22.096899999999998,21.53282,5,2825.24,0.9000000000000004,,0.40000000000000036,,200
rc2_2_3,RC2,5.0,4.9,2461.7419999999997,2497.989,24.38593,23.98281,4,2601.87,1.0,,0.9000000000000004,,200
rc2_2_4,RC2,4.0,4.0,2136.865,2155.754,26.10156,26.546870000000002,4,2038.56,0.0,4.8222765089082404,0.0,5.748861941762811,200
rc2_2_5,RC2,5.0,5.0,2783.077,2785.277,18.976580000000002,17.85467,4,2911.46,1.0,,1.0,,200
rc2_2_6,RC2,5.0,5.0,2659.5060000000003,2668.328,18.26407,17.946890000000003,4,2873.12,1.0,,1.0,,200
rc2_2_7,RC2,4.9,4.7,2451.254,2482.938,19.229689999999998,18.86407,4,2525.83,0.9000000000000004,,0.7000000000000002,,200
rc2_2_8,RC2,4.1,4.0,2358.644,2380.975,19.96564,19.754669999999997,4,2292.53,0.09999999999999964,,0.0,3.857964781267844,200
rc2_2_9,RC2,4.0,4.0,2287.374,2267.178,19.49532,19.757820000000002,4,2175.04,0.0,5.1646866264528395,0.0,4.236151978814179,200
