Instancia,Algoritmo,Avg_Vehiculos,Avg_Distancia,Best_Vehiculos,Best_Distancia,Runs_OK,Avg_Tiempo,Veh_Run1,Dist_Run1,Veh_Run2,Dist_Run2,Veh_Run3,Dist_Run3,Veh_Run4,Dist_Run4,Veh_Run5,Dist_Run5,Veh_Run6,Dist_Run6,Veh_Run7,Dist_Run7,Veh_Run8,Dist_Run8,Veh_Run9,Dist_Run9,Veh_Run10,Dist_Run10
c208,QLEARNING,3.0,588.32,3,588.32,10,12.5,3,588.32,3,588.32,3,588.32,3,588.32,3,588.32,3,588.32,3,588.32,3,588.32,3,588.32,3,588.32
r101,CLASSIC,19.0,1658.94,19,1654.38,10,9.37,19,1658.85,19,1656.83,19,1663.36,19,1654.38,19,1655.39,19,1658.37,19,1661.3,19,1662.58,19,1661.39,19,1656.99
r101,QLEARNING,19.0,1653.78,19,1651.5,10,11.21,19,1651.5,19,1655.55,19,1653.81,19,1653.76,19,1655.41,19,1653.19,19,1653.56,19,1655.4,19,1652.47,19,1653.14
r102,CLASSIC,17.0,1491.88,17,1487.57,10,13.37,17,1493.19,17,1490.54,17,1490.47,17,1493.36,17,1497.61,17,1488.29,17,1493.16,17,1487.57,17,1492.23,17,1492.39
r102,QLEARNING,17.0,1488.15,17,1486.64,10,15.98,17,1487.43,17,1489.04,17,1487.48,17,1488.59,17,1489.48,17,1486.64,17,1487.57,17,1488.78,17,1487.97,17,1488.5
r103,CLASSIC,13.1,1300.65,13,1302.62,10,15.14,13,1308.16,13,1303.98,13,1307.74,13,1306.6,14,1226.78,13,1310.51,13,1319.85,13,1308.89,13,1302.62,13,1311.38
r103,QLEARNING,13.0,1301.14,13,1292.68,10,17.79,13,1300.82,13,1304.9,13,1302.38,13,1292.68,13,1303.4,13,1302.55,13,1295.21,13,1305.28,13,1305.68,13,1298.51
r104,CLASSIC,10.0,1005.78,10,992.12,10,16.65,10,1010.79,10,1021.99,10,992.68,10,1005.4,10,992.12,10,1011.79,10,999.53,10,1009.23,10,1002.26,10,1012.04
r104,QLEARNING,10.0,993.51,10,985.36,10,18.74,10,994.43,10,992.41,10,989.36,10,995.98,10,987.71,10,1002.63,10,985.36,10,999.49,10,996.76,10,990.97
r105,CLASSIC,14.0,1386.23,14,1377.33,10,9.35,14,1383.14,14,1377.63,14,1392.73,14,1387.47,14,1377.63,14,1389.8,14,1388.17,14,1399.88,14,1377.33,14,1388.53
r105,QLEARNING,14.0,1377.91,14,1377.33,10,11.68,14,1377.33,14,1377.63,14,1377.33,14,1377.63,14,1377.63,14,1377.33,14,1381.59,14,1377.63,14,1377.63,14,1377.33
r106,CLASSIC,12.0,1261.05,12,1253.5,10,12.78,12,1253.5,12,1262.78,12,1261.07,12,1261.78,12,1268.25,12,1257.29,12,1262.53,12,1262.12,12,1262.49,12,1258.65
r106,QLEARNING,12.0,1259.38,12,1255.75,10,15.27,12,1259.71,12,1255.85,12,1257.96,12,1255.75,12,1257.96,12,1264.3,12,1260.69,12,1260.81,12,1260.11,12,1260.69
r107,CLASSIC,10.6,1104.7,10,1118.98,10,16.05,11,1088.81,11,1092.86,11,1078.53,11,1105.58,10,1118.98,11,1094.92,11,1086.4,10,1130.42,10,1124.95,10,1125.56
r107,QLEARNING,10.4,1111.55,10,1118.94,10,17.72,10,1123.33,11,1091.1,10,1139.53,10,1123.86,11,1080.59,11,1090.34,10,1118.94,11,1092.36,10,1133.01,10,1122.41
r108,CLASSIC,9.8,974.44,9,967.44,10,16.85,10,986.11,9,967.44,10,978.61,10,985.75,9,976.94,10,975.95,10,969.21,10,965.58,10,970.37,10,968.39
r108,QLEARNING,9.8,964.28,9,971.3,10,19.05,10,970.2,10,965.89,9,971.3,9,974.47,10,967.49,10,954.78,10,965.77,10,953.11,10,956.76,10,963.01
r109,CLASSIC,12.0,1172.33,12,1159.16,10,12.33,12,1159.16,12,1177.77,12,1163.36,12,1177.38,12,1171.55,12,1160.67,12,1169.09,12,1193.21,12,1174.98,12,1176.15
r109,QLEARNING,12.0,1168.62,12,1161.74,10,14.76,12,1162.78,12,1169.11,12,1161.74,12,1173.45,12,1164.41,12,1171.47,12,1172.14,12,1168.14,12,1177.43,12,1165.57
r110,CLASSIC,11.0,1114.14,11,1093.64,10,14.94,11,1124.1,11,1116.61,11,1106.34,11,1122.33,11,1124.05,11,1111.53,11,1105.98,11,1124.51,11,1093.64,11,1112.33
r110,QLEARNING,11.0,1108.42,11,1087.76,10,18.04,11,1087.76,11,1104.97,11,1125.33,11,1094.87,11,1118.19,11,1115.97,11,1120.79,11,1100.31,11,1115.7,11,1100.34
r111,CLASSIC,10.8,1074.57,10,1097.64,10,16.45,10,1099.15,11,1078.89,11,1074.33,11,1054.59,11,1076.41,11,1060.19,11,1060.58,11,1066.98,10,1097.64,11,1076.96
r111,QLEARNING,10.8,1075.33,10,1098.39,10,17.22,11,1068.22,11,1071.96,11,1065.74,11,1073.16,11,1060.69,11,1071.98,10,1109.57,11,1069.03,10,1098.39,11,1064.6
r112,CLASSIC,10.0,980.63,10,975.29,10,18.01,10,979.25,10,982.75,10,987.88,10,975.5,10,984.0,10,976.32,10,981.73,10,983.9,10,975.29,10,979.67
r112,QLEARNING,10.0,974.99,10,961.37,10,21.14,10,969.23,10,980.8,10,975.03,10,973.17,10,978.35,10,970.59,10,979.04,10,981.46,10,961.37,10,980.81
r201,CLASSIC,4.0,1263.89,4,1253.23,10,10.64,4,1265.79,4,1260.57,4,1253.23,4,1265.49,4,1278.02,4,1278.0,4,1267.22,4,1254.69,4,1257.62,4,1258.3
r201,QLEARNING,4.0,1261.85,4,1254.54,10,10.14,4,1264.08,4,1261.65,4,1271.17,4,1254.54,4,1266.92,4,1265.49,4,1263.33,4,1256.11,4,1254.69,4,1260.47
r202,CLASSIC,3.9,1103.2,3,1195.31,10,13.79,4,1082.46,3,1195.31,4,1087.29,4,1088.49,4,1099.65,4,1101.65,4,1092.08,4,1106.14,4,1082.46,4,1096.5
r202,QLEARNING,4.0,1088.84,4,1084.09,10,15.07,4,1092.09,4,1090.13,4,1087.55,4,1086.97,4,1086.99,4,1084.09,4,1087.65,4,1098.18,4,1088.19,4,1086.57
r203,CLASSIC,3.0,950.0,3,942.32,10,21.15,3,943.5,3,951.19,3,942.32,3,953.3,3,949.87,3,947.44,3,946.21,3,950.09,3,959.69,3,956.41
r203,QLEARNING,3.0,945.64,3,941.08,10,17.49,3,941.41,3,947.03,3,946.62,3,941.08,3,949.04,3,946.69,3,942.79,3,943.5,3,949.09,3,949.19
r204,CLASSIC,2.2,826.5,2,831.49,10,19.24,2,864.79,2,833.74,3,756.75,2,847.93,2,832.14,2,847.46,2,849.05,3,763.09,2,838.55,2,831.49
r204,QLEARNING,2.1,837.26,2,828.78,10,21.53,2,856.91,2,840.76,3,752.21,2,834.45,2,848.71,2,849.21,2,828.78,2,856.21,2,856.34,2,849.07
r205,CLASSIC,3.0,1031.33,3,1018.29,10,14.66,3,1036.71,3,1018.29,3,1028.16,3,1048.04,3,1031.92,3,1028.27,3,1031.93,3,1050.27,3,1018.81,3,1020.91
r205,QLEARNING,3.0,1018.53,3,1003.82,10,13.53,3,1025.02,3,1009.41,3,1037.24,3,1008.48,3,1003.82,3,1022.28,3,1010.53,3,1044.19,3,1006.42,3,1017.92
r206,CLASSIC,3.0,929.44,3,910.27,10,18.32,3,925.65,3,910.27,3,919.39,3,935.39,3,932.27,3,930.3,3,919.88,3,930.93,3,937.91,3,952.37
r206,QLEARNING,3.0,914.05,3,907.93,10,16.41,3,913.24,3,913.86,3,913.26,3,918.56,3,913.67,3,907.93,3,909.82,3,913.39,3,910.54,3,926.19
r207,CLASSIC,3.0,818.5,3,812.86,10,19.82,3,819.38,3,816.12,3,820.97,3,818.45,3,814.91,3,812.86,3,818.15,3,818.4,3,830.55,3,815.26
