instance,Familia,CLASSIC_Vehiculos,QLEARNING_Vehiculos,CLASSIC_Distancia,QLEARNING_Distancia,CLASSIC_Tiempo_s,QLEARNING_Tiempo_s,BKS_Veh,BKS_Dist,CLASSIC_DIF_f1,CLASSIC_GAP_f2(%),QLEARNING_DIF_f1,QLEARNING_GAP_f2(%),size
c1_4_1,C1,40.0,40.0,7152.06,7152.06,38.42811,39.696870000000004,40,7152.02,0.0,0.0005592825523413472,0.0,0.0005592825523413472,400
c1_4_10,C1,37.0,37.0,6958.503,7005.959,52.226549999999996,47.99688,36,6860.63,1.0,,1.0,,400
c1_4_2,C1,38.8,38.9,7201.6630000000005,7271.687,50.695319999999995,48.30001,36,7686.38,2.799999999999997,,2.8999999999999986,,400
c1_4_3,C1,36.7,36.9,7209.611999999999,7160.305,52.290639999999996,52.964059999999996,36,7060.67,0.7000000000000028,,0.8999999999999986,,400
c1_4_4,C1,36.0,36.0,7039.558,7104.435,50.35781,45.99219,36,6803.24,0.0,3.473609633057194,0.0,4.427228790987833,400
c1_4_5,C1,40.0,40.0,7156.896000000001,7153.6720000000005,41.20001,44.428129999999996,40,7152.02,0.0,0.06817654313047508,0.0,0.023098369411719256,400
c1_4_6,C1,40.0,40.0,7166.861,7177.738,45.82031,51.301559999999995,40,7153.41,0.0,0.1880361953250271,0.0,0.3400895516963299,400
c1_4_7,C1,40.0,40.0,7174.717999999999,7158.4259999999995,46.27499,50.873450000000005,39,7417.92,1.0,,1.0,,400
c1_4_8,C1,39.5,39.6,7136.37,7131.469999999999,48.92343,51.078109999999995,37,7347.23,2.5,,2.6000000000000014,,400
c1_4_9,C1,37.9,37.1,7083.3330000000005,7268.653,48.42187,46.675,36,7042.53,1.8999999999999986,,1.1000000000000014,,400
c2_4_1,C2,12.6,12.5,4261.933999999999,4272.993,46.40154,43.55157,12,4116.05,0.5999999999999996,,0.5,,400
c2_4_10,C2,12.8,12.0,3932.594,4009.5080000000003,52.88905999999999,55.792179999999995,11,3825.67,1.8000000000000007,,1.0,,400
c2_4_2,C2,12.1,12.0,4158.179,4172.936,65.27344000000001,73.33282,12,3929.89,0.09999999999999964,,0.0,6.184549694775168,400
c2_4_3,C2,12.0,12.0,4068.103,3989.971,68.73593000000001,72.9875,11,4018.02,1.0,,1.0,,400
c2_4_4,C2,12.0,12.0,3843.621,3784.4,69.48593000000001,73.55938,11,3702.49,1.0,,1.0,,400
c2_4_5,C2,12.8,13.0,4123.826,4164.95,45.07344,47.85,12,3938.69,0.8000000000000007,,1.0,,400
c2_4_6,C2,12.9,12.7,4073.8549999999996,4089.285,49.00314,52.10780999999999,12,3875.94,0.9000000000000004,,0.6999999999999993,,400
c2_4_7,C2,13.0,13.0,4138.253,4171.01,53.884370000000004,56.75154,12,3894.13,1.0,,1.0,,400
c2_4_8,C2,12.9,12.3,4020.111,3968.1220000000003,50.73437,54.94063,11,4233.2,1.9000000000000004,,1.3000000000000007,,400
c2_4_9,C2,13.0,13.0,4054.6150000000002,4092.6980000000003,57.44217,61.76249,12,3864.68,1.0,,1.0,,400
r1_4_1,R1,40.0,40.0,10649.789999999999,10655.02,43.835950000000004,35.07812,40,10372.31,0.0,2.6751996421240745,0.0,2.7256223541332734,400
r1_4_10,R1,36.0,36.0,8678.155999999999,8513.28,31.94218,37.257819999999995,36,8094.1,0.0,7.215823871709006,0.0,5.178833965481033,400
r1_4_2,R1,36.9,37.0,9324.844000000001,9218.676000000001,53.71094000000001,54.6828,36,8898.15,0.8999999999999986,,1.0,,400
r1_4_3,R1,36.0,36.0,8324.043000000001,8200.458,52.9172,49.70156,36,7808.34,0.0,6.604515172238931,0.0,5.021784399757188,400
r1_4_4,R1,36.0,36.0,7594.774,7542.923,49.32657,47.54688,36,7282.78,0.0,4.283995946602817,0.0,3.572028813172992,400
r1_4_5,R1,37.0,37.0,9456.122,9440.573,38.60001,38.84842,36,9222.96,1.0,,1.0,,400
r1_4_6,R1,36.2,36.2,9116.177,8857.818000000001,46.59064,49.203140000000005,36,8358.69,0.20000000000000284,,0.20000000000000284,,400
r1_4_7,R1,36.0,36.0,8018.206,7934.597,53.38125,50.10469,36,7616.15,0.0,5.278992666898636,0.0,4.1812070403025166,400
r1_4_8,R1,36.0,36.0,7586.387,7506.910000000001,46.30315,44.34842,36,7257.28,0.0,4.534853278363244,0.0,3.4397184620133303,400
r1_4_9,R1,36.8,36.5,9473.458,9124.955,37.55624,39.11093,36,8694.78,0.7999999999999972,,0.5,,400
r2_4_1,R2,9.0,9.0,9178.533,9211.61,43.75,40.23595,8,9210.15,1.0,,1.0,,400
r2_4_10,R2,8.0,8.0,6046.932,6072.985,47.4125,47.52656,8,5773.17,0.0,4.741970182759207,0.0,5.193247384019518,400
r2_4_2,R2,8.0,8.0,8002.622,7979.0160000000005,59.282799999999995,60.20312,8,7606.75,0.0,5.204219936240842,0.0,4.893890294803964,400
r2_4_3,R2,8.0,8.0,6264.597,6312.403,65.55626,69.68281999999999,8,5911.07,0.0,5.980761520333884,0.0,6.789515265425727,400
r2_4_4,R2,8.0,8.0,4495.365,4535.196,67.975,69.95623,8,4241.47,0.0,5.986014282784023,0.0,6.925099081214759,400
