instance,algorithm,seed,run,best_veh,best_dist,cpu_time,valid
c106,QLEARNING,7,7,10,828.937,8.70312,1
c106,QLEARNING,10,10,10,828.937,7.25,1
c107,CLASSIC,1,1,10,828.937,9.10938,1
c107,CLASSIC,2,2,10,828.937,7.5,1
c107,CLASSIC,3,3,10,828.937,8.51562,1
c107,CLASSIC,4,4,10,828.937,8.03125,1
c107,CLASSIC,8,8,10,828.937,7.6875,1
c107,CLASSIC,7,7,10,828.937,8.26562,1
c107,CLASSIC,5,5,10,828.937,9.79688,1
c107,CLASSIC,6,6,10,828.937,9.1875,1
c107,CLASSIC,10,10,10,828.937,7.84375,1
c107,QLEARNING,1,1,10,828.937,6.89062,1
c107,CLASSIC,9,9,10,828.937,9.03125,1
c107,QLEARNING,3,3,10,828.937,6.75,1
c107,QLEARNING,2,2,10,828.937,9.57812,1
c107,QLEARNING,6,6,10,828.937,7.8125,1
c107,QLEARNING,5,5,10,828.937,8.5,1
c107,QLEARNING,4,4,10,828.937,9.42188,1
c107,QLEARNING,8,8,10,828.937,7.48438,1
c107,QLEARNING,9,9,10,828.937,7.26562,1
c107,QLEARNING,7,7,10,828.937,9.32812,1
c107,QLEARNING,10,10,10,828.937,7.84375,1
c108,CLASSIC,1,1,10,828.937,8.20312,1
c108,CLASSIC,3,3,10,828.937,7.84375,1
c108,CLASSIC,2,2,10,828.937,8.76562,1
c108,CLASSIC,4,4,10,828.937,8.32812,1
c108,CLASSIC,6,6,10,828.937,8.79688,1
c108,CLASSIC,5,5,10,828.937,9.07812,1
c108,CLASSIC,7,7,10,828.937,8.3125,1
c108,CLASSIC,8,8,10,828.937,8.64062,1
c108,CLASSIC,9,9,10,828.937,8.82812,1
c108,CLASSIC,10,10,10,828.937,9.04688,1
c108,QLEARNING,2,2,10,828.937,8.67188,1
c108,QLEARNING,1,1,10,828.937,10,1
c108,QLEARNING,4,4,10,828.937,9.125,1
c108,QLEARNING,3,3,10,828.937,9.28125,1
c108,QLEARNING,5,5,10,828.937,9.85938,1
c108,QLEARNING,6,6,10,828.937,8.64062,1
c108,QLEARNING,7,7,10,828.937,8.60938,1
c108,QLEARNING,8,8,10,828.937,9.0625,1
c108,QLEARNING,9,9,10,828.937,9.46875,1
c108,QLEARNING,10,10,10,828.937,9.17188,1
c109,CLASSIC,1,1,10,828.937,8.45312,1
c109,CLASSIC,2,2,10,828.937,8.89062,1
c109,CLASSIC,3,3,10,828.937,8.65625,1
c109,CLASSIC,4,4,10,828.937,8.34375,1
c109,CLASSIC,5,5,10,828.937,9.8125,1
c109,CLASSIC,7,7,10,828.937,8.51562,1
c109,CLASSIC,6,6,10,828.937,9.45312,1
c109,CLASSIC,10,10,10,828.937,8.28125,1
c109,CLASSIC,9,9,10,828.937,9.90625,1
c109,CLASSIC,8,8,10,828.937,11.2344,1
c109,QLEARNING,1,1,10,828.937,10.4062,1
c109,QLEARNING,2,2,10,828.937,9.17188,1
c109,QLEARNING,3,3,10,828.937,9.125,1
c109,QLEARNING,4,4,10,828.937,9.04688,1
c109,QLEARNING,5,5,10,828.937,9.1875,1
c109,QLEARNING,6,6,10,828.937,8.21875,1
c109,QLEARNING,8,8,10,828.937,9.10938,1
c109,QLEARNING,7,7,10,828.937,10.9375,1
c109,QLEARNING,9,9,10,828.937,9.57812,1
c109,QLEARNING,10,10,10,828.937,9.82812,1
c201,CLASSIC,1,1,3,591.557,7.14062,1
c201,CLASSIC,3,3,3,591.557,6.875,1
c201,CLASSIC,2,2,3,591.557,8.46875,1
c201,CLASSIC,4,4,3,591.557,8.875,1
c201,CLASSIC,5,5,3,591.557,6.45312,1
c201,CLASSIC,6,6,3,591.557,7.625,1
c201,CLASSIC,8,8,3,591.557,7.09375,1
c201,CLASSIC,7,7,3,591.557,8.39062,1
c201,CLASSIC,9,9,3,591.557,7.29688,1
c201,CLASSIC,10,10,3,591.557,7.51562,1
c201,QLEARNING,1,1,3,591.557,8.59375,1
c201,QLEARNING,2,2,3,591.557,8.09375,1
c201,QLEARNING,3,3,3,591.557,8.1875,1
c201,QLEARNING,5,5,3,591.557,6.96875,1
c201,QLEARNING,4,4,3,591.557,9,1
c201,QLEARNING,7,7,3,591.557,8.125,1
c201,QLEARNING,6,6,3,591.557,8.45312,1
c201,QLEARNING,8,8,3,591.557,7.95312,1
c201,QLEARNING,10,10,3,591.557,7.28125,1
c201,QLEARNING,9,9,3,591.557,8.8125,1
c202,CLASSIC,1,1,3,591.557,9.32812,1
c202,CLASSIC,2,2,3,591.557,8.78125,1
c202,CLASSIC,6,6,3,591.557,8.23438,1
c202,CLASSIC,5,5,3,591.557,9.1875,1
c202,CLASSIC,4,4,3,591.557,9.6875,1
c202,CLASSIC,3,3,3,591.557,10.3438,1
c202,CLASSIC,7,7,3,591.557,8.84375,1
c202,CLASSIC,8,8,3,591.557,8.6875,1
c202,CLASSIC,9,9,3,591.557,9.1875,1
c202,CLASSIC,10,10,3,591.557,9.65625,1
c202,QLEARNING,4,4,3,591.557,9.54688,1
c202,QLEARNING,1,1,3,591.557,10.5625,1
c202,QLEARNING,3,3,3,591.557,10.1719,1
c202,QLEARNING,2,2,3,591.557,10.7031,1
c202,QLEARNING,5,5,3,591.557,8.76562,1
c202,QLEARNING,6,6,3,591.557,8.71875,1
c202,QLEARNING,8,8,3,591.557,9,1
c202,QLEARNING,7,7,3,591.557,11.3281,1
c202,QLEARNING,10,10,3,591.557,8.73438,1
c203,CLASSIC,1,1,3,591.173,9.67188,1
c202,QLEARNING,9,9,3,591.557,10.5625,1
c203,CLASSIC,2,2,3,591.173,11.0469,1
c203,CLASSIC,3,3,3,591.173,10.9219,1
c203,CLASSIC,4,4,3,591.173,11.4219,1
c203,CLASSIC,5,5,3,591.173,9.125,1
c203,CLASSIC,6,6,3,591.173,9.6875,1
c203,CLASSIC,7,7,3,591.173,10.4531,1
c203,CLASSIC,9,9,3,591.173,10.3438,1
c203,CLASSIC,8,8,3,591.173,11.3281,1
c203,CLASSIC,10,10,3,591.173,10.6094,1
c203,QLEARNING,1,1,3,591.173,11.1562,1
c203,QLEARNING,2,2,3,591.173,11.2344,1
c203,QLEARNING,3,3,3,591.173,11.5625,1
c203,QLEARNING,4,4,3,591.173,12.5469,1
c203,QLEARNING,5,5,3,591.173,10.0625,1
c203,QLEARNING,8,8,3,591.173,9.5625,1
c203,QLEARNING,7,7,3,591.173,11.1094,1
c203,QLEARNING,6,6,3,591.173,13.2344,1
c203,QLEARNING,9,9,3,591.173,11.1094,1
c203,QLEARNING,10,10,3,591.173,12.3906,1
c204,CLASSIC,1,1,3,590.599,12.5,1
c204,CLASSIC,2,2,3,590.599,11.7969,1
c204,CLASSIC,4,4,3,590.599,10.0938,1
c204,CLASSIC,3,3,3,590.599,12.5156,1
c204,CLASSIC,5,5,3,590.599,11.5,1
c204,CLASSIC,6,6,3,590.599,11.8594,1
