instance,size,class,algorithm,seed,run,best_veh,best_dist,cpu_time,valid
C1_2_1,200,C1,CLASSIC,1,1,20,2704.57,16.4531,1
C1_2_1,200,C1,CLASSIC,2,2,20,2704.57,16.3281,1
C1_2_1,200,C1,CLASSIC,3,3,20,2704.57,16.1875,1
C1_2_1,200,C1,CLASSIC,4,4,20,2704.57,16.375,1
C1_2_1,200,C1,CLASSIC,5,5,20,2704.57,16.5938,1
C1_2_1,200,C1,CLASSIC,6,6,20,2704.57,16.2656,1
C1_2_1,200,C1,CLASSIC,7,7,20,2704.57,16.3438,1
C1_2_1,200,C1,CLASSIC,8,8,20,2704.57,16.6875,1
C1_2_1,200,C1,CLASSIC,9,9,20,2704.57,16.5,1
C1_2_1,200,C1,CLASSIC,10,10,20,2704.57,16.3906,1
C1_2_1,200,C1,QLEARNING,1,1,20,2704.57,16.9062,1
C1_2_1,200,C1,QLEARNING,2,2,20,2704.57,16.25,1
C1_2_1,200,C1,QLEARNING,3,3,20,2704.57,17.0312,1
C1_2_1,200,C1,QLEARNING,4,4,20,2704.57,17.2031,1
C1_2_1,200,C1,QLEARNING,5,5,20,2704.57,17.6719,1
C1_2_1,200,C1,QLEARNING,6,6,20,2704.57,17.6875,1
C1_2_1,200,C1,QLEARNING,7,7,20,2704.57,16.6406,1
C1_2_1,200,C1,QLEARNING,8,8,20,2704.57,16.4688,1
C1_2_1,200,C1,QLEARNING,9,9,20,2704.57,16.5781,1
C1_2_1,200,C1,QLEARNING,10,10,20,2704.57,17.0469,1
C1_2_2,200,C1,CLASSIC,1,1,19,2777.96,21.9688,1
C1_2_2,200,C1,CLASSIC,2,2,19,2778.71,22.0938,1
C1_2_2,200,C1,CLASSIC,3,3,19,2778.02,22.0312,1
C1_2_2,200,C1,CLASSIC,4,4,19,2779.09,22.5156,1
C1_2_2,200,C1,CLASSIC,5,5,19,2785.95,22.125,1
C1_2_2,200,C1,CLASSIC,6,6,19,2794.11,22.9219,1
C1_2_2,200,C1,CLASSIC,7,7,19,2777.34,22.4531,1
C1_2_2,200,C1,CLASSIC,8,8,19,2779.26,22.4219,1
C1_2_2,200,C1,CLASSIC,9,9,19,2802.23,22,1
C1_2_2,200,C1,CLASSIC,10,10,19,2777.96,22.3594,1
C1_2_2,200,C1,QLEARNING,1,1,19,2778.02,22.1406,1
C1_2_2,200,C1,QLEARNING,2,2,19,2794.11,21.4688,1
C1_2_2,200,C1,QLEARNING,3,3,19,2798.09,21.9844,1
C1_2_2,200,C1,QLEARNING,4,4,19,2793.49,21.7188,1
C1_2_2,200,C1,QLEARNING,5,5,19,2794.78,22.7188,1
C1_2_2,200,C1,QLEARNING,6,6,19,2802.47,21.4688,1
C1_2_2,200,C1,QLEARNING,7,7,19,2794.11,22.6406,1
C1_2_2,200,C1,QLEARNING,8,8,19,2777.34,21.7812,1
C1_2_2,200,C1,QLEARNING,9,9,19,2794.78,22.6406,1
C1_2_2,200,C1,QLEARNING,10,10,19,2794.11,21.9531,1
C1_2_3,200,C1,CLASSIC,1,1,18,2762.07,25.3906,1
C1_2_3,200,C1,CLASSIC,2,2,18,2740.9,25.25,1
C1_2_3,200,C1,CLASSIC,3,3,18,2732.34,24.75,1
C1_2_3,200,C1,CLASSIC,4,4,18,2740.81,25.0781,1
C1_2_3,200,C1,CLASSIC,5,5,18,2740.81,24.7812,1
C1_2_3,200,C1,CLASSIC,6,6,18,2761.76,24.875,1
C1_2_3,200,C1,CLASSIC,7,7,18,2744.57,25.5312,1
C1_2_3,200,C1,CLASSIC,8,8,18,2754.4,26.2031,1
C1_2_3,200,C1,CLASSIC,9,9,18,2766.78,25.3438,1
C1_2_3,200,C1,CLASSIC,10,10,18,2734.62,24.9844,1
C1_2_3,200,C1,QLEARNING,1,1,18,2721.67,25.4062,1
C1_2_3,200,C1,QLEARNING,2,2,18,2740.92,26.4688,1
C1_2_3,200,C1,QLEARNING,3,3,18,2720.64,25.7969,1
C1_2_3,200,C1,QLEARNING,4,4,18,2741.57,26.1094,1
C1_2_3,200,C1,QLEARNING,5,5,18,2740.81,25.9531,1
C1_2_3,200,C1,QLEARNING,6,6,18,2754.14,25.8594,1
C1_2_3,200,C1,QLEARNING,7,7,18,2747.3,26.3125,1
C1_2_3,200,C1,QLEARNING,8,8,18,2741.41,25.75,1
C1_2_3,200,C1,QLEARNING,9,9,18,2740.4,26.2031,1
C1_2_3,200,C1,QLEARNING,10,10,18,2740.81,25.8281,1
C1_2_4,200,C1,CLASSIC,1,1,18,2652.65,24.8594,1
C1_2_4,200,C1,CLASSIC,2,2,18,2653.02,24.375,1
C1_2_4,200,C1,CLASSIC,3,3,18,2649.44,25.125,1
C1_2_4,200,C1,CLASSIC,4,4,18,2649.93,24.4375,1
C1_2_4,200,C1,CLASSIC,5,5,18,2651.35,24.7188,1
C1_2_4,200,C1,CLASSIC,6,6,18,2658.91,24.6562,1
C1_2_4,200,C1,CLASSIC,7,7,18,2662.96,24.7969,1
C1_2_4,200,C1,CLASSIC,8,8,18,2649.81,24.8594,1
C1_2_4,200,C1,CLASSIC,9,9,18,2654.87,24.5156,1
C1_2_4,200,C1,CLASSIC,10,10,18,2652.25,25.5312,1
C1_2_4,200,C1,QLEARNING,1,1,18,2647.43,24.7812,1
C1_2_4,200,C1,QLEARNING,2,2,18,2648,24.6875,1
C1_2_4,200,C1,QLEARNING,3,3,18,2649.31,25.3125,1
C1_2_4,200,C1,QLEARNING,4,4,18,2646.76,24.7031,1
C1_2_4,200,C1,QLEARNING,5,5,18,2649.55,24.3438,1
C1_2_4,200,C1,QLEARNING,6,6,18,2657.94,25.0625,1
C1_2_4,200,C1,QLEARNING,7,7,18,2648.87,25.2812,1
C1_2_4,200,C1,QLEARNING,8,8,18,2647.53,24.9219,1
C1_2_4,200,C1,QLEARNING,9,9,18,2645.57,25.1094,1
C1_2_4,200,C1,QLEARNING,10,10,18,2648.34,24.5469,1
C1_2_5,200,C1,CLASSIC,1,1,20,2702.05,17.625,1
C1_2_5,200,C1,CLASSIC,2,2,20,2702.05,17.5781,1
C1_2_5,200,C1,CLASSIC,3,3,20,2702.05,17.9844,1
C1_2_5,200,C1,CLASSIC,4,4,20,2702.05,17.7969,1
C1_2_5,200,C1,CLASSIC,5,5,20,2702.05,17.5781,1
C1_2_5,200,C1,CLASSIC,6,6,20,2702.05,18.1562,1
C1_2_5,200,C1,CLASSIC,7,7,20,2702.05,18.1719,1
C1_2_5,200,C1,CLASSIC,8,8,20,2702.05,17.5938,1
C1_2_5,200,C1,CLASSIC,9,9,20,2702.05,17.7656,1
C1_2_5,200,C1,CLASSIC,10,10,20,2702.05,17.7188,1
C1_2_5,200,C1,QLEARNING,1,1,20,2702.05,18.6562,1
C1_2_5,200,C1,QLEARNING,2,2,20,2702.05,17.7344,1
C1_2_5,200,C1,QLEARNING,3,3,20,2702.05,17.5156,1
C1_2_5,200,C1,QLEARNING,4,4,20,2702.05,17.2656,1
C1_2_5,200,C1,QLEARNING,5,5,20,2702.05,18.0156,1
C1_2_5,200,C1,QLEARNING,6,6,20,2702.05,17.0781,1
C1_2_5,200,C1,QLEARNING,7,7,20,2702.05,18.0781,1
C1_2_5,200,C1,QLEARNING,8,8,20,2702.05,17.3438,1
C1_2_5,200,C1,QLEARNING,9,9,20,2702.05,18.1406,1
C1_2_5,200,C1,QLEARNING,10,10,20,2702.05,17.5938,1
C1_2_6,200,C1,CLASSIC,1,1,20,2701.04,19.3281,1
C1_2_6,200,C1,CLASSIC,2,2,20,2701.04,19.9844,1
C1_2_6,200,C1,CLASSIC,3,3,20,2701.04,19.5781,1
C1_2_6,200,C1,CLASSIC,4,4,20,2701.04,20,1
C1_2_6,200,C1,CLASSIC,5,5,20,2701.04,20.7344,1
C1_2_6,200,C1,CLASSIC,6,6,20,2701.04,19.8594,1
C1_2_6,200,C1,CLASSIC,7,7,20,2701.04,20.1094,1
C1_2_6,200,C1,CLASSIC,8,8,20,2701.04,19.9375,1
C1_2_6,200,C1,CLASSIC,9,9,20,2701.04,19.6406,1
C1_2_6,200,C1,CLASSIC,10,10,20,2701.04,19.6875,1
C1_2_6,200,C1,QLEARNING,1,1,20,2701.04,22.625,1
C1_2_6,200,C1,QLEARNING,2,2,20,2701.04,22.5312,1
C1_2_6,200,C1,QLEARNING,3,3,20,2701.04,21.8125,1
C1_2_6,200,C1,QLEARNING,4,4,20,2701.04,22.2969,1
C1_2_6,200,C1,QLEARNING,5,5,20,2701.04,21.9688,1
C1_2_6,200,C1,QLEARNING,6,6,20,2701.04,22.6406,1
C1_2_6,200,C1,QLEARNING,7,7,20,2701.04,22.4062,1
C1_2_6,200,C1,QLEARNING,8,8,20,2701.04,23.2344,1
C1_2_6,200,C1,QLEARNING,9,9,20,2701.04,22.5938,1
C1_2_6,200,C1,QLEARNING,10,10,20,2701.04,22.6719,1
C1_2_7,200,C1,CLASSIC,1,1,20,2701.04,19.375,1
C1_2_7,200,C1,CLASSIC,2,2,20,2701.04,19.3125,1
C1_2_7,200,C1,CLASSIC,3,3,20,2701.04,18.9688,1
C1_2_7,200,C1,CLASSIC,4,4,20,2701.04,19.6875,1
C1_2_7,200,C1,CLASSIC,5,5,20,2701.04,19.6094,1
C1_2_7,200,C1,CLASSIC,6,6,20,2701.04,19.8438,1
C1_2_7,200,C1,CLASSIC,7,7,20,2701.04,19.3594,1
C1_2_7,200,C1,CLASSIC,8,8,20,2701.04,19.5938,1
C1_2_7,200,C1,CLASSIC,9,9,20,2701.04,19.7344,1
C1_2_7,200,C1,CLASSIC,10,10,20,2701.04,19.5,1
C1_2_7,200,C1,QLEARNING,1,1,20,2701.04,22.9844,1
C1_2_7,200,C1,QLEARNING,2,2,20,2701.04,22.7812,1
C1_2_7,200,C1,QLEARNING,3,3,20,2701.04,22.8594,1
C1_2_7,200,C1,QLEARNING,4,4,20,2701.04,23.3594,1
C1_2_7,200,C1,QLEARNING,5,5,20,2701.04,22.5781,1
C1_2_7,200,C1,QLEARNING,6,6,20,2701.04,22.8281,1
C1_2_7,200,C1,QLEARNING,7,7,20,2701.04,22.9688,1
C1_2_7,200,C1,QLEARNING,8,8,20,2701.04,22.6562,1
C1_2_7,200,C1,QLEARNING,9,9,20,2701.04,22.7188,1
C1_2_7,200,C1,QLEARNING,10,10,20,2701.04,22.9531,1
C1_2_8,200,C1,CLASSIC,1,1,20,2690.27,21.7656,1
C1_2_8,200,C1,CLASSIC,2,2,20,2690.27,21.5781,1
C1_2_8,200,C1,CLASSIC,3,3,20,2690.27,21.25,1
C1_2_8,200,C1,CLASSIC,4,4,20,2690.27,21.4062,1
C1_2_8,200,C1,CLASSIC,5,5,20,2690.27,21.5312,1
C1_2_8,200,C1,CLASSIC,6,6,20,2690.27,21.6094,1
C1_2_8,200,C1,CLASSIC,7,7,20,2690.27,21.5781,1
