instance,size,class,algorithm,seed,run,best_veh,best_dist,cpu_time,valid
C1_8_4,800,C1,QLEARNING,6,6,72,25832.7,72.1875,1
C1_8_4,800,C1,QLEARNING,7,7,72,25692.2,69.3594,1
C1_8_4,800,C1,QLEARNING,8,8,72,25345.7,69.4219,1
C1_8_4,800,C1,QLEARNING,9,9,72,25717.6,75.375,1
C1_8_4,800,C1,QLEARNING,10,10,72,25449.5,72.7656,1
C1_8_5,800,C1,CLASSIC,1,1,80,25223.2,80.8594,1
C1_8_5,800,C1,CLASSIC,2,2,81,25715.7,82.2969,1
C1_8_5,800,C1,CLASSIC,3,3,81,25654.7,81.7344,1
C1_8_5,800,C1,CLASSIC,4,4,80,25644.6,80.0781,1
C1_8_5,800,C1,CLASSIC,5,5,80,25223.9,80.9844,1
C1_8_5,800,C1,CLASSIC,6,6,81,25769.2,85.0625,1
C1_8_5,800,C1,CLASSIC,7,7,80,25366.2,82.0781,1
C1_8_5,800,C1,CLASSIC,8,8,81,25461.6,82.8594,1
C1_8_5,800,C1,CLASSIC,9,9,81,25696.4,81.3438,1
C1_8_5,800,C1,CLASSIC,10,10,80,25185.5,80.6094,1
C1_8_5,800,C1,QLEARNING,1,1,80,25199.8,85.7031,1
C1_8_5,800,C1,QLEARNING,2,2,80,25249.6,85.8281,1
C1_8_5,800,C1,QLEARNING,3,3,80,25218.2,85.6562,1
C1_8_5,800,C1,QLEARNING,4,4,80,25257.7,87.0312,1
C1_8_5,800,C1,QLEARNING,5,5,80,25245.2,87.9062,1
C1_8_5,800,C1,QLEARNING,6,6,80,25167.6,89.375,1
C1_8_5,800,C1,QLEARNING,7,7,81,25723.3,87.0312,1
C1_8_5,800,C1,QLEARNING,8,8,80,25182.3,87.8125,1
C1_8_5,800,C1,QLEARNING,9,9,81,25704.9,87.25,1
C1_8_5,800,C1,QLEARNING,10,10,80,25168.8,84.9375,1
C1_8_6,800,C1,CLASSIC,1,1,81,25882,84.7812,1
C1_8_6,800,C1,CLASSIC,2,2,81,25672.3,86.625,1
C1_8_6,800,C1,CLASSIC,3,3,80,25257.2,86.0781,1
C1_8_6,800,C1,CLASSIC,4,4,81,25650.5,87.25,1
C1_8_6,800,C1,CLASSIC,5,5,80,25766.7,87.9062,1
C1_8_6,800,C1,CLASSIC,6,6,82,25905.3,85.4531,1
C1_8_6,800,C1,CLASSIC,7,7,81,25719.1,86.6562,1
C1_8_6,800,C1,CLASSIC,8,8,82,26020,87.2344,1
C1_8_6,800,C1,CLASSIC,9,9,81,25742.8,87.2188,1
C1_8_6,800,C1,CLASSIC,10,10,82,26152.9,87.5625,1
C1_8_6,800,C1,QLEARNING,1,1,80,25162.5,90.0625,1
C1_8_6,800,C1,QLEARNING,2,2,80,25315.2,91.9219,1
C1_8_6,800,C1,QLEARNING,3,3,81,25665,89.8125,1
C1_8_6,800,C1,QLEARNING,4,4,80,25164.3,90.7656,1
C1_8_6,800,C1,QLEARNING,5,5,81,25599,91.3125,1
C1_8_6,800,C1,QLEARNING,6,6,80,25259.8,90.25,1
C1_8_6,800,C1,QLEARNING,7,7,80,25329.4,89.8281,1
C1_8_6,800,C1,QLEARNING,8,8,80,25175.7,92.125,1
C1_8_6,800,C1,QLEARNING,9,9,81,25575.9,91.2188,1
C1_8_6,800,C1,QLEARNING,10,10,80,25692,90.2656,1
C1_8_7,800,C1,CLASSIC,1,1,81,26238.2,85.7969,1
C1_8_7,800,C1,CLASSIC,2,2,80,25912.2,86.1719,1
C1_8_7,800,C1,CLASSIC,3,3,81,26036.9,86.4062,1
C1_8_7,800,C1,CLASSIC,4,4,81,26207.1,86,1
C1_8_7,800,C1,CLASSIC,5,5,82,26500.6,85.7344,1
C1_8_7,800,C1,CLASSIC,6,6,80,25744.9,86.4062,1
C1_8_7,800,C1,CLASSIC,7,7,80,25968.7,84.625,1
C1_8_7,800,C1,CLASSIC,8,8,80,25715.2,85.1875,1
C1_8_7,800,C1,CLASSIC,9,9,81,25893.4,84.8594,1
C1_8_7,800,C1,CLASSIC,10,10,83,26788.1,86.8906,1
C1_8_7,800,C1,QLEARNING,1,1,80,25164.7,88.4688,1
C1_8_7,800,C1,QLEARNING,2,2,80,25849.8,93.4844,1
C1_8_7,800,C1,QLEARNING,3,3,80,25839.4,90,1
C1_8_7,800,C1,QLEARNING,4,4,80,25608.7,93.2656,1
C1_8_7,800,C1,QLEARNING,5,5,80,25922.3,89.9062,1
C1_8_7,800,C1,QLEARNING,6,6,81,26285.7,90.1719,1
C1_8_7,800,C1,QLEARNING,7,7,80,25956.2,89.8438,1
C1_8_7,800,C1,QLEARNING,8,8,80,25981,89.9375,1
C1_8_7,800,C1,QLEARNING,9,9,80,25753.6,93.4688,1
C1_8_7,800,C1,QLEARNING,10,10,80,25599.7,91.8125,1
C1_8_8,800,C1,CLASSIC,1,1,79,25860.1,86.9062,1
C1_8_8,800,C1,CLASSIC,2,2,80,26255.5,88.5312,1
C1_8_8,800,C1,CLASSIC,3,3,79,25600.3,86.8281,1
C1_8_8,800,C1,CLASSIC,4,4,79,26230.5,87.5469,1
C1_8_8,800,C1,CLASSIC,5,5,80,25589.6,87.5469,1
C1_8_8,800,C1,CLASSIC,6,6,80,25986.8,87.0156,1
C1_8_8,800,C1,CLASSIC,7,7,80,26108.4,88.7031,1
C1_8_8,800,C1,CLASSIC,8,8,79,25985.5,87.1094,1
C1_8_8,800,C1,CLASSIC,9,9,79,25807.5,87.2031,1
C1_8_8,800,C1,CLASSIC,10,10,79,25974.6,87.6719,1
C1_8_8,800,C1,QLEARNING,1,1,78,25440.8,86.8594,1
C1_8_8,800,C1,QLEARNING,2,2,78,25735.2,86.2188,1
C1_8_8,800,C1,QLEARNING,3,3,79,25357,84.4375,1
C1_8_8,800,C1,QLEARNING,4,4,78,25613.5,88.3125,1
C1_8_8,800,C1,QLEARNING,5,5,78,25669.4,87.6719,1
C1_8_8,800,C1,QLEARNING,6,6,79,25513.8,85.6875,1
C1_8_8,800,C1,QLEARNING,7,7,78,25598.6,88.9062,1
C1_8_8,800,C1,QLEARNING,8,8,78,25908.3,87.0938,1
C1_8_8,800,C1,QLEARNING,9,9,79,26128.3,86.4531,1
C1_8_8,800,C1,QLEARNING,10,10,78,25489.3,86.5312,1
C1_8_9,800,C1,CLASSIC,1,1,76,25370.6,87.9375,1
C1_8_9,800,C1,CLASSIC,2,2,75,25399.7,83.375,1
C1_8_9,800,C1,CLASSIC,3,3,76,25682.2,87.2188,1
C1_8_9,800,C1,CLASSIC,4,4,75,25402.5,88.9062,1
C1_8_9,800,C1,CLASSIC,5,5,77,26080.3,87.625,1
C1_8_9,800,C1,CLASSIC,6,6,75,25318.8,86.3125,1
C1_8_9,800,C1,CLASSIC,7,7,77,26303.2,86.625,1
C1_8_9,800,C1,CLASSIC,8,8,76,25216.2,86.3438,1
C1_8_9,800,C1,CLASSIC,9,9,76,25388.9,88.1719,1
C1_8_9,800,C1,CLASSIC,10,10,75,25317,89.8125,1
C1_8_9,800,C1,QLEARNING,1,1,75,25245.7,83.7656,1
C1_8_9,800,C1,QLEARNING,2,2,75,25089.6,79.4375,1
C1_8_9,800,C1,QLEARNING,3,3,75,24938.9,81.9375,1
C1_8_9,800,C1,QLEARNING,4,4,75,25176.9,81.0938,1
C1_8_9,800,C1,QLEARNING,5,5,75,25735.6,79.8281,1
C1_8_9,800,C1,QLEARNING,6,6,75,24851,84.4062,1
C1_8_9,800,C1,QLEARNING,7,7,75,24958.1,83.25,1
C1_8_9,800,C1,QLEARNING,8,8,75,25202,83.6406,1
C1_8_9,800,C1,QLEARNING,9,9,75,25223.9,77.9219,1
C1_8_9,800,C1,QLEARNING,10,10,75,26061.4,83.25,1
C1_8_10,800,C1,CLASSIC,1,1,74,25702.2,94.0938,1
C1_8_10,800,C1,CLASSIC,2,2,75,25702.2,91.7969,1
C1_8_10,800,C1,CLASSIC,3,3,75,25175.4,92.0156,1
C1_8_10,800,C1,CLASSIC,4,4,74,25134.3,92.4062,1
C1_8_10,800,C1,CLASSIC,5,5,75,25806.6,92.0625,1
C1_8_10,800,C1,CLASSIC,6,6,75,25476.3,90.4688,1
C1_8_10,800,C1,CLASSIC,7,7,74,25589.3,91.2969,1
C1_8_10,800,C1,CLASSIC,8,8,75,25176.1,91.7031,1
C1_8_10,800,C1,CLASSIC,9,9,76,25586,95.4844,1
C1_8_10,800,C1,CLASSIC,10,10,75,26013.6,92.0625,1
C1_8_10,800,C1,QLEARNING,1,1,74,25317.4,84.6875,1
C1_8_10,800,C1,QLEARNING,2,2,74,25513.2,81.7188,1
C1_8_10,800,C1,QLEARNING,3,3,74,25239,81.8125,1
C1_8_10,800,C1,QLEARNING,4,4,75,25601.2,84.1094,1
C1_8_10,800,C1,QLEARNING,5,5,74,25147.4,80.8125,1
C1_8_10,800,C1,QLEARNING,6,6,74,25610.7,85.2812,1
C1_8_10,800,C1,QLEARNING,7,7,74,25214.8,82.2969,1
C1_8_10,800,C1,QLEARNING,8,8,74,25479.9,82.8125,1
C1_8_10,800,C1,QLEARNING,9,9,73,25880.9,83.1875,1
C1_8_10,800,C1,QLEARNING,10,10,74,25210,79.9375,1
C2_8_1,800,C2,CLASSIC,1,1,27,13443.1,86.2344,1
C2_8_1,800,C2,CLASSIC,2,2,26,13899.8,85.3594,1
C2_8_1,800,C2,CLASSIC,3,3,26,13549.4,86.0625,1
C2_8_1,800,C2,CLASSIC,4,4,27,13578,87.0312,1
C2_8_1,800,C2,CLASSIC,5,5,26,13677.8,86.75,1
C2_8_1,800,C2,CLASSIC,6,6,27,13637.7,86.125,1
C2_8_1,800,C2,CLASSIC,7,7,27,13474.3,85.5781,1
C2_8_1,800,C2,CLASSIC,8,8,27,13297.8,85.6719,1
C2_8_1,800,C2,CLASSIC,9,9,27,14340.2,86.375,1
C2_8_1,800,C2,CLASSIC,10,10,26,13828.9,85.5938,1
C2_8_1,800,C2,QLEARNING,1,1,26,12909.5,85.0625,1
C2_8_1,800,C2,QLEARNING,2,2,26,13431.9,85.9844,1
C2_8_1,800,C2,QLEARNING,3,3,26,13508.3,85.0625,1
C2_8_1,800,C2,QLEARNING,4,4,26,13846.3,85.8125,1
C2_8_1,800,C2,QLEARNING,5,5,26,13698.1,84.7812,1
C2_8_1,800,C2,QLEARNING,6,6,26,13778.5,84.2969,1
C2_8_1,800,C2,QLEARNING,7,7,26,13496.2,85.9688,1
C2_8_1,800,C2,QLEARNING,8,8,26,13453.8,82.3906,1
C2_8_1,800,C2,QLEARNING,9,9,26,14200.8,83.2656,1
C2_8_1,800,C2,QLEARNING,10,10,26,13773,86.3594,1
C2_8_2,800,C2,CLASSIC,1,1,26,13384,140.688,1
C2_8_2,800,C2,CLASSIC,2,2,25,13485.5,137.922,1
C2_8_2,800,C2,CLASSIC,3,3,26,13363.9,138.453,1
C2_8_2,800,C2,CLASSIC,4,4,26,13272,140.125,1
