instance,size,class,algorithm,seed,run,best_veh,best_dist,cpu_time,valid
C1_6_1,600,C1,CLASSIC,1,1,61,14369.8,57.5781,1
C1_6_1,600,C1,CLASSIC,2,2,60,14305.7,57.2031,1
C1_6_1,600,C1,CLASSIC,3,3,60,14148.4,57.5938,1
C1_6_1,600,C1,CLASSIC,4,4,62,14722,58.8906,1
C1_6_1,600,C1,CLASSIC,5,5,61,14348.8,58.0312,1
C1_6_1,600,C1,CLASSIC,6,6,60,14113.7,58.0312,1
C1_6_1,600,C1,CLASSIC,7,7,60,14095.6,57.5312,1
C1_6_1,600,C1,CLASSIC,8,8,62,14768.2,58.5781,1
C1_6_1,600,C1,CLASSIC,9,9,61,14483.5,58.375,1
C1_6_1,600,C1,CLASSIC,10,10,60,14095.6,56.8594,1
C1_6_1,600,C1,QLEARNING,1,1,61,14329.5,59.2969,1
C1_6_1,600,C1,QLEARNING,2,2,61,14329.5,59.125,1
C1_6_1,600,C1,QLEARNING,3,3,61,14746,52.25,1
C1_6_1,600,C1,QLEARNING,4,4,60,14095.6,55.6875,1
C1_6_1,600,C1,QLEARNING,5,5,61,14460.6,58.2812,1
C1_6_1,600,C1,QLEARNING,6,6,61,14440.3,58.6562,1
C1_6_1,600,C1,QLEARNING,7,7,60,14095.6,59.0469,1
C1_6_1,600,C1,QLEARNING,8,8,61,14498.1,59.0312,1
C1_6_1,600,C1,QLEARNING,9,9,60,14095.6,58.3125,1
C1_6_1,600,C1,QLEARNING,10,10,61,14499.6,57.2344,1
C1_6_2,600,C1,CLASSIC,1,1,59,14303.1,74.4531,1
C1_6_2,600,C1,CLASSIC,2,2,59,14521.3,75.6094,1
C1_6_2,600,C1,CLASSIC,3,3,59,14165.3,72.1094,1
C1_6_2,600,C1,CLASSIC,4,4,58,14197.8,70.0938,1
C1_6_2,600,C1,CLASSIC,5,5,59,14723.5,74.2031,1
C1_6_2,600,C1,CLASSIC,6,6,59,14350.7,72.7031,1
C1_6_2,600,C1,CLASSIC,7,7,58,14646.5,72.7344,1
C1_6_2,600,C1,CLASSIC,8,8,59,14253.6,73.25,1
C1_6_2,600,C1,CLASSIC,9,9,59,14773.9,74.5938,1
C1_6_2,600,C1,CLASSIC,10,10,59,14458.9,73.5781,1
C1_6_2,600,C1,QLEARNING,1,1,59,14260.2,70.2188,1
C1_6_2,600,C1,QLEARNING,2,2,58,14720,71.0156,1
C1_6_2,600,C1,QLEARNING,3,3,58,14322.6,68.3281,1
C1_6_2,600,C1,QLEARNING,4,4,58,14075.4,67.9688,1
C1_6_2,600,C1,QLEARNING,5,5,59,14222.4,71.1094,1
C1_6_2,600,C1,QLEARNING,6,6,58,14912.7,68.2188,1
C1_6_2,600,C1,QLEARNING,7,7,58,14708.3,67.5,1
C1_6_2,600,C1,QLEARNING,8,8,58,14595.9,69.6406,1
C1_6_2,600,C1,QLEARNING,9,9,58,14745.3,66.3125,1
C1_6_2,600,C1,QLEARNING,10,10,59,14499.2,71.3125,1
C1_6_3,600,C1,CLASSIC,1,1,56,14487.1,72.0781,1
