instance,Familia,CLASSIC_Vehiculos,QLEARNING_Vehiculos,CLASSIC_Distancia,QLEARNING_Distancia,CLASSIC_Tiempo_s,QLEARNING_Tiempo_s,BKS_Veh,BKS_Dist,CLASSIC_DIF_f1,CLASSIC_GAP_f2(%),QLEARNING_DIF_f1,QLEARNING_GAP_f2(%),size
c1_6_1,C1,60.7,60.7,14345.13,14359.039999999999,57.86717,57.69217999999999,60,14095.64,0.7000000000000028,,0.7000000000000028,,600
c1_6_10,C1,56.7,56.3,14083.09,14129.1,72.47813,65.55155,56,13637.34,0.7000000000000028,,0.29999999999999716,,600
c1_6_2,C1,58.8,58.3,14439.460000000001,14506.2,73.33282,69.16251,56,14163.31,2.799999999999997,,2.299999999999997,,600
c1_6_3,C1,56.1,56.0,14638.529999999999,14414.179999999998,72.05779,71.17031,56,13777.81,0.10000000000000142,,0.0,4.618803714088081,600
c1_6_4,C1,56.0,56.0,14059.560000000001,13971.929999999998,68.66407000000001,67.55156000000001,56,13558.54,0.0,3.6952356227145433,0.0,3.048927096870294,600
c1_6_5,C1,60.0,60.2,14157.029999999999,14197.66,61.20625,65.77813,60,14085.72,0.0,0.5062574011126126,0.20000000000000284,,600
c1_6_6,C1,60.1,60.0,14165.99,14181.220000000001,64.46095,69.24219000000001,59,15832.68,1.1000000000000014,,1.0,,600
c1_6_7,C1,60.0,60.0,14249.84,14215.289999999999,64.65,70.25312,57,15731.2,3.0,,3.0,,600
c1_6_8,C1,59.0,59.0,14317.560000000001,14214.279999999999,67.97968999999999,68.77655999999999,56,14385.8,3.0,,3.0,,600
c1_6_9,C1,57.5,56.8,14152.210000000001,14041.41,67.50938,63.834360000000004,56,13693.42,1.5,,0.7999999999999972,,600
c2_6_1,C2,19.9,19.4,8489.083,8388.114,63.68907,68.22188,18,7774.1,1.8999999999999986,,1.3999999999999986,,600
c2_6_10,C2,19.1,18.7,7934.17,7822.057000000001,78.99688,82.58905999999999,17,7255.69,2.1000000000000014,,1.6999999999999993,,600
c2_6_2,C2,19.1,18.5,8194.850999999999,8070.170999999999,94.36249000000001,99.39075,17,8258.2,2.1000000000000014,,1.5,,600
c2_6_3,C2,18.4,18.0,7912.939,7844.392,105.9109,111.24859999999998,17,7506.62,1.3999999999999986,,1.0,,600
c2_6_4,C2,18.0,18.0,7626.0509999999995,7625.849,109.2202,114.1578,17,6909.58,1.0,,1.0,,600
c2_6_5,C2,20.0,19.5,8325.401,8282.965,68.04375,71.67345,18,7575.2,2.0,,1.5,,600
c2_6_6,C2,19.7,19.2,8287.285,7981.262,70.75781,73.42813,18,7470.36,1.6999999999999993,,1.1999999999999993,,600
c2_6_7,C2,20.0,19.6,8312.984,8271.706,78.1375,81.63439,18,7512.07,2.0,,1.6000000000000014,,600
c2_6_8,C2,19.8,18.9,8096.827,7962.244000000001,74.01719,77.12813,17,7539.73,2.8000000000000007,,1.8999999999999986,,600
c2_6_9,C2,20.0,19.2,8172.194,8139.530000000001,83.58593,87.44689,17,7911.61,3.0,,2.1999999999999993,,600
r1_6_1,R1,59.0,59.0,22266.28,22142.82,61.34062,51.71094000000001,59,21394.95,0.0,4.0725965706860645,0.0,3.495544509335142,600
r1_6_10,R1,55.0,55.0,18664.5,18501.56,48.37187,47.5,54,17610.12,1.0,,1.0,,600
r1_6_2,R1,55.0,55.0,19898.870000000003,19721.43,65.85625999999999,65.325,54,18585.0,1.0,,1.0,,600
r1_6_3,R1,55.0,55.0,17947.91,17716.370000000003,72.37187,72.0172,54,16900.67,1.0,,1.0,,600
r1_6_4,R1,54.2,54.1,19356.510000000002,18441.03,40.15155,50.99532,54,15748.07,0.20000000000000284,,0.10000000000000142,,600
r1_6_5,R1,55.0,55.0,20586.5,20375.379999999997,50.001580000000004,38.7375,54,19381.52,1.0,,1.0,,600
